41.35,43.06,36.03,36.22
39.00,39.69,36.17,39.94
44.06,42.84,39.62,38.91
42.06,43.88,38.66,45.72
48.50,48.53,44.80,43.62
52.56,51.81,48.28,47.50
53.28,53.50,51.28,51.55
53.37,56.03,55.72,57.45
49.84,53.78,51.53,55.27
54.94,54.53,52.23,52.88
49.88,50.00,46.25,50.31
51.88,53.38,49.50,47.66
53.00,55.31,52.00,51.50
54.25,53.78,51.81,50.50
52.06,57.52,53.59,58.25
56.18,57.50,53.84,52.34
58.59,57.44,54.41,53.94
56.53,61.94,57.56,60.69
54.22,51.94,52.19,52.91
51.06,54.03,50.88,53.56
46.84,47.97,45.81,49.78
57.50,53.25,49.75,45.50
52.03,55.69,53.00,56.31
51.28,53.53,48.38,53.66
64.44,66.50,60.38,59.69
61.28,66.62,59.75,60.00
55.89,58.31,50.50,54.81
40.68,56.81,44.62,60.78
73.78,72.03,53.94,46.75
66.50,70.25,71.50,73.91
73.94,73.19,63.50,61.88
66.53,77.00,71.44,74.88
83.62,78.06,73.28,72.47
66.19,76.84,69.88,81.66
70.44,66.62,67.00,63.00
70.06,73.50,68.62,71.69
71.50,75.00,55.44,76.00
77.75,78.25,76.06,67.44
75.47,77.50,75.97,78.94
76.97,80.50,66.75,70.58
82.31,83.94,82.56,84.88
70.62,75.72,70.91,76.06
72.81,77.50,73.00,71.53
69.66,74.42,69.12,71.53
60.81,68.41,61.06,71.12
67.41,63.44,64.38,62.81
60.91,67.12,60.50,67.19
65.06,66.18,61.94,63.34
64.28,66.96,64.25,66.66
68.41,69.66,69.72,72.57
66.19,69.16,69.22,70.13
63.84,66.50,62.00,60.12
65.22,69.88,60.69,63.05
57.12,68.85,55.94,67.12
64.59,56.50,63.75,58.94
59.84,61.91,57.43,63.62
61.78,63.48,58.69,63.06
62.25,70.62,64.25,69.25
66.25,66.00,62.00,65.25
73.38,71.62,69.00,66.25
74.19,72.72,71.27,69.66
70.03,73.62,66.75,71.09
72.03,74.22,69.88,69.12
67.50,68.25,64.62,61.94
68.75,71.25,68.31,72.91
64.94,76.38,63.25,77.03
65.81,62.00,60.88,57.12
65.57,63.50,63.62,59.09
62.12,59.62,58.75,56.84
62.81,66.00,60.00,56.88
61.67,61.94,59.56,65.69
64.18,63.09,62.03,65.94
67.30,69.75,68.50,67.97
67.02,68.88,67.25,70.94
68.00,72.62,64.38,70.25
66.12,67.06,64.66,64.69
66.19,67.12,64.88,63.78
71.50,72.19,60.94,71.41
74.19,77.06,64.50,70.47
70.06,75.81,66.50,71.91
66.31,71.25,58.90,70.72
53.62,61.00,53.55,60.50
57.84,57.94,50.27,52.28
66.16,67.31,64.56,64.72
66.12,68.50,58.50,63.19
76.78,77.66,71.00,73.81
85.81,80.66,72.97,71.91
80.38,81.94,81.19,84.91
73.41,81.25,78.03,83.97
67.34,76.75,72.97,79.47
62.66,66.12,62.44,65.03
79.88,78.00,69.56,65.75
78.25,76.34,68.62,67.09
77.47,76.44,69.03,68.44
78.16,76.06,69.75,68.44
82.25,83.22,81.94,87.12
62.25,75.72,66.34,80.53
71.56,75.25,67.34,67.03
80.97,83.50,66.62,76.18
89.47,90.31,86.47,87.16
