1428.78,1430.68,1369.11,1370.58
1357.47,1398.03,1349.20,1395.57
1427.58,1405.79,1385.77,1348.67
1381.76,1400.65,1355.89,1418.25
1444.34,1434.24,1408.74,1411.53
1447.20,1455.44,1444.65,1423.35
1465.44,1463.44,1449.73,1433.94
1470.60,1478.40,1455.84,1476.63
1417.48,1446.58,1417.99,1462.29
1388.09,1428.65,1393.63,1428.09
1371.46,1394.34,1367.55,1388.09
1441.23,1414.02,1367.23,1358.29
1431.30,1427.31,1408.85,1416.72
1439.76,1429.66,1424.05,1428.75
1413.92,1432.66,1402.94,1424.87
1419.45,1417.62,1402.80,1401.81
1450.87,1443.06,1394.25,1398.88
1460.49,1462.64,1438.93,1447.64
1450.09,1479.20,1448.59,1470.11
1466.27,1474.87,1456.05,1444.59
1465.24,1473.53,1440.18,1472.17
1484.69,1468.22,1454.48,1445.90
1382.28,1472.40,1402.74,1493.89
1441.79,1419.82,1404.63,1414.77
1417.21,1438.32,1424.45,1442.55
1431.35,1450.52,1426.63,1435.48
1361.27,1435.53,1371.36,1455.75
1353.47,1410.85,1357.82,1415.13
1425.42,1435.63,1326.46,1353.47
1493.83,1514.53,1539.28,1524.46
1527.25,1546.09,1566.09,1551.12
1531.12,1549.81,1586.72,1584.54
1549.77,1558.75,1530.16,1531.12
1534.76,1550.24,1528.15,1543.01
1520.79,1543.32,1514.18,1528.00
1479.72,1498.04,1476.04,1499.26
1517.23,1546.35,1354.77,1502.09
1491.18,1487.93,1557.51,1517.21
1480.52,1500.55,1554.93,1509.82
1529.12,1514.95,1464.88,1477.26
1506.94,1525.52,1520.27,1529.12
1544.46,1524.93,1497.34,1497.07
1520.06,1515.37,1589.01,1535.10
1547.95,1550.44,1507.08,1516.80
1473.93,1512.13,1467.95,1527.24
1514.47,1502.65,1477.58,1489.98
1429.92,1473.55,1421.62,1493.76
1427.23,1459.14,1407.22,1449.86
1431.76,1456.96,1428.88,1464.36
1399.99,1434.85,1394.58,1421.23
1326.15,1337.51,1321.83,1325.81
1391.46,1371.53,1361.58,1321.91
1419.54,1395.55,1367.00,1350.63
1374.98,1393.09,1367.63,1394.96
1331.71,1390.18,1323.69,1408.31
1348.85,1346.37,1341.56,1339.99
1415.75,1396.37,1352.15,1322.63
1374.18,1398.10,1350.56,1397.90
1355.05,1390.51,1357.32,1409.06
1397.08,1397.09,1405.11,1417.42
1329.18,1372.30,1325.15,1372.42
1368.65,1367.20,1338.30,1355.76
1326.59,1333.40,1320.01,1321.34
1316.19,1350.98,1287.88,1326.59
1372.14,1368.04,1335.57,1377.90
1345.40,1342.69,1337.38,1333.98
1335.01,1330.08,1320.62,1317.18
1382.18,1376.59,1334.76,1337.57
1321.35,1381.02,1318.90,1382.26
1396.05,1411.58,1390.41,1395.51
1397.78,1384.10,1378.68,1364.81
1375.01,1398.10,1371.20,1404.32
1406.17,1429.45,1376.31,1379.73
1401.04,1434.72,1403.85,1409.44
1375.40,1425.69,1350.48,1405.71
1415.72,1447.14,1436.80,1448.98
1435.82,1430.39,1419.02,1448.71
1419.84,1441.18,1448.17,1454.08
1409.01,1444.02,1396.89,1428.57
1394.27,1412.10,1401.48,1421.01
1405.71,1432.39,1323.15,1416.64
1325.86,1376.47,1315.49,1379.64
1364.26,1380.55,1321.55,1345.34
1409.62,1439.16,1385.78,1436.96
1410.63,1421.49,1407.46,1404.22
1485.48,1453.24,1381.39,1365.15
1426.54,1445.97,1376.72,1401.69
1431.60,1446.26,1425.63,1426.35
1495.73,1505.54,1445.47,1437.07
1539.09,1500.37,1441.58,1411.02
1420.27,1425.07,1399.99,1414.97
1476.34,1510.01,1549.62,1549.10
1431.49,1449.88,1442.39,1460.01
1390.98,1437.33,1399.96,1448.70
1440.17,1439.86,1416.99,1423.09
1446.15,1421.23,1418.74,1410.02
1363.28,1435.39,1374.28,1455.61
1432.13,1434.35,1397.32,1398.33
1409.43,1417.03,1380.30,1401.35
1461.53,1443.62,1392.26,1381.99
